1,Timestamp,TITLE,COMPANY,SALARY,GENDER IDENTITY / ETHNICITY,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES / TITLES/ ETC,salary_clean,flag,exp_clean
746,11/13/19 21:57,Senior Editor and Writer,Vox Media,"$140,000 ",cis Male,15,New York,Writing and producing a conference,"95,000, Reporter at Bloomberg","$140,000 ",,15
747,11/13/19 22:02,Reporter,The Hill,"57,000",,5,Washington DC,,,"57,000",,5
748,11/13/19 22:05,Editorial Assistant,Midsize trade publisher,37000,Trans/Non-binary/White,1,New York City,Reading 500+ pages of manuscript submissions a week. Writing jacket copy. Mailings. Compiling image and text permissions. Managing multiple interns. Communicating with authors and agents about payments. Meeting with authors and agents to acquire new projects.,,37000,,1
749,11/13/19 22:11,Reporter,Las Vegas Review-Journal,"$42,000 ","Gay male, White",5,"Las Vegas, Nevada",Reporter,n/a,"$42,000 ",,5
750,11/13/19 22:11,Social Media Assistant,"iHeartRadio (National Team, New York)","$12/hr, capped at 30 hrs/week","cis male, latinx",2.5,"New York, NY","Updating social media accounts, capturing content with talent, social event coverage at events",,,x,2.5
751,11/13/19 22:14,Reporter,Postmedia,"47,000",Female,5,canada,reporter,reporter,"47,000",,5
752,11/13/19 22:17,Staff Writer,Group Nine Media / Thrillist,"$58,000 ",cis female / white,1,New York,Writing / pitching,Hearst Digital Fellow ($15 an hour),"$58,000 ",,1
753,11/13/19 22:19,Copy editor,Adams Publishing Group,$16 an hour,cis white female,2,Small metro on West Coast,"Edit stories, manage page design, run opinion page",,,x,2
754,11/13/19 22:23,Art Director & Senior Motion Graphics Designer,Hearst,"58,600",Asian/Male,27,FL,"Create on air graphics for 3 stations, print and advertising media, teach juniors how to do their jobs.",,"58,600",,27
755,11/13/19 22:24,Digital team,Gatehouse Media,"41,000",Cis White woman,4,,,,"41,000",,4
756,11/13/19 22:27,Editor,Valnet,30000,"Cis female, white",8,Montreal,Writing/editing,N/A,30000,,8
757,11/13/19 22:36,Digital Writer,AMI,"45,000",cis white woman,4,New York,,,"45,000",,4
758,11/13/19 22:51,staff writer,new york media,"$56,000 ",black woman,5,"new york, ny","news posts, longer stories, weekly listicles","assistant editor ($40k/$50k)
editorial assistant ($35k)
editorial fellow ($30k)","$56,000 ",,5
759,11/13/19 22:53,Digital Producer,Nexstar Broadcasting,"$25,500 ",Cis white female,1,Texas (smaller town),"Scheduling social media posts, finding content for the website, writing stories for web (crime, breaking news, fluff pieces - pretty much anything)",First job/entry-level; I am paid around what a typical MMJ would be in a similar market with the same experience.,"$25,500 ",,1
760,11/13/19 22:54,Producer,Charter Communications,"49,000",Cis white female,10,Milwaukee,"Select, research and write stories for PM newscast, stack show with reporter content, edit video for stories, headlines and teases","Producer at ABC affiliate, max salary $42,000/year","49,000",,10
