id,title,employer,salary,gender,years_exp,Location,duties,comments
292,Staff Writer,Institutional Investor,"$57,000 ",cis white woman,,,"report, write daily news, features",
17,Copy Editor,Alt-Weekly,$250/week,F/W,12,Alabama,Copy editor,
322,Producer,Maranatha Broadcasting Co,"43,000",Female / White,3,Allentown Pa,"Selecting content, stacking show, writing, coordinating with talent, line producing","2016: 12.55/hr associate producer;
2018: 15.00/hr producer"
587,Reporter,The Morning Call,48000,White male,7,"Allentown, PA",,
25,Reporter,Baltimore Sun Media Group/Tribune,"$35,000 ",Cis-het white female,2,"Annapolis, Maryland","beat reporter for a daily newspaper, covering city hall, military; currently on a yearlong project w/ ProPublica",N/a
190,Reporter,Gannett,"39,500","cis female, mixed race",2.5,Arizona,Daily beat reporting,
216,News Reporter/Staff Writer,Gatehouse Media-Ashland Times Gazette,"$30,000 ",Female/White,1,"Ashland, Ohio","Write 1-3 articles each day, take some photos",Unpaid internships (2)
698,Reporter,Wall Street Journal,"$118,000 ",cis white male,15,Asia,Writing,
559,Staff Photographer,The Aspen Times,"45,000",White female,4,"Aspen, Colorado",The only staff photographer,
100,Associate Producer,CNN,51000,cis Asian woman,2,Atlanta,,
143,Producer,COX Media,"$64,000 ",cis white female,7 years,Atlanta,writer and producer,"Started at $30,000 in CA as a producer"
417,Reporter,NPR affiliate station,"$50,000 ",cis female/mixed race,7,Atlanta,"reporting, audio production",reporter
215,Crime reporter,Gatehouse Media,"$30,680 (before taxes)",Bi Cis Latino male,1.5,"Augusta, Georgia","Cover crime for four counties, other general assignment stories",First job out of college
263,Senior Writer,Higher ed alumni magazine,"$67,000 per annum",cis het white male,20,"Baltimore, MD","Pitch, research, report, fact check short-form news and longer features for both digital and print publication and social media; collaborate with art/photo/video teams on story-related projects.","Alt-wekly arts editor ($43,000); daily newspaper pop music critic ($42,000); alt-weekly music editor ($30,000); alt-weekly music & film writer ($21,000)."
321,Online News Editor,Louisiana Business Inc. (Business Report),"43,000","Cis woman, white",3.5,Baton Rouge,write and edit content for twice-daily online newsletter,"First job: staff writer in Mankato MN, salary was $32,000"
26,Reporter,Bay Area News Group,"$58,000 ",POC female,5,"Bay Area, CA",Local government reporter,
490,News Publishing Specialist,Reuters,"$9,912 per annum",Indian female,5,"Bengaluru, Karnataka, India","Write Canada pre-opener market report, make newsletters for India, EMEA and U.S., Canada. Curate Reuters top news pages for the Eikon app.",Senior-subeditor
43,Multiplatform Editor,Boston Globe,"$94,000 ",Male,13,Boston,"Copyediting, headline writing, basically just a rebrand of copyeditor for the web",
44,Reporter,BridgeTower Media,"$63,000 ",Cis white male,22,Boston,"One 1,500-word cover story, one 800-word inside story, blogging, podcasting","Senior editor, weekly newspaper/website editor, $43,000"
408,Production Coordinator,NPR Affiliate,"$42,000 ",white cis female,1,Boston,"Daily research for public radio news magazine, audio production, booking, digital writing, show direction.",3.5 years as local daily newspaper reporter.
407,Program Manager,NPR Affiliate,"65,000",white cis female,5,Boston,,
421,Reporter,NPR member station,"69,000",Cis white woman,11,Boston,Report and write stories,"Reporter, online news organization, $75,000; reporter Midwest daily, $60,000"
493,Senior Staff Writer,Reviewed,"$49,000 ",,5+ years,Boston,"testing, writing, editing",
492,Senior Staff Writer,Reviewed,"$45,450 ",Poc Cis Male,7+ years,Boston,Product reviews and photography,
565,Social Media Director,The Boston Globe,"$50,000 ","cis-het male, white",3,Boston,Manage social publications and some digital story assigning,Digital content director at a midwest station - 32k
566,Reporter,The Boston Globe,"$74,000 ",cis POC woman,7,Boston,"Reporting, writing",
568,Associate Editor,The Channel Company/CRN,"$73,000 ",Cishet white male,7,Boston,"Breaking news, features","$47,000/Staff Writer $32,000/Online Editor $23,000/Reporter"
